Id,mean_exam_points
10000,54.8
10001,61.0
10002,54.0
10003,90.1
10004,89.1
10005,61.8
10006,49.5
10007,53.4
10008,52.6
10009,78.6
10010,53.4
10011,62.7
10012,59.9
10013,79.9
10014,63.5
10015,61.0
10016,87.4
10017,53.4
10018,55.9
10019,53.4
10020,73.7
10021,55.6
10022,65.3
10023,61.8
10024,55.8
10025,69.7
10026,59.4
10027,53.4
10028,62.3
10029,55.4
10030,73.2
10031,57.9
10032,49.6
10033,53.4
10034,55.8
10035,73.7
10036,55.9
10037,86.1
10038,59.4
10039,89.1
10040,90.1
10041,61.0
10042,52.6
10043,64.5
10044,60.9
10045,54.1
10046,59.5
10047,49.6
10048,61.9
10049,79.9
10050,54.1
10051,86.5
10052,53.4
10053,49.5
10054,57.1
10055,59.9
10056,75.1
10057,53.4
10058,58.9
10059,60.9
10060,63.5
10061,56.6
10062,61.8
10063,54.8
10064,54.4
10065,53.4
10066,53.8
10067,79.9
10068,59.4
10069,59.8
10070,57.1
10071,61.3
10072,54.8
10073,55.9
10074,69.1
10075,61.0
10076,75.5
10077,61.0
10078,61.0
10079,73.2
10080,61.3
10081,60.9
10082,84.4
10083,77.5
10084,56.4
10085,59.4
10086,82.1
10087,75.1
10088,49.9
10089,84.4
10090,55.6
10091,55.0
10092,56.6
10093,69.1
10094,67.3
10095,55.8
10096,89.7
10097,69.1
10098,83.7
10099,53.4
10100,83.7
10101,55.4
10102,59.4
10103,65.3
10104,56.4
10105,55.8
10106,54.7
10107,55.6
10108,56.4
10109,54.4
10110,57.9
10111,52.7
10112,69.1
10113,59.4
10114,55.6
10115,73.2
10116,54.4
10117,77.9
10118,55.8
10119,59.4
10120,63.5
10121,55.8
10122,84.4
10123,57.4
10124,49.5
10125,79.9
10126,59.9
10127,62.7
10128,54.7
10129,54.7
10130,72.0
10131,61.9
10132,54.1
10133,81.9
10134,77.0
10135,83.8
10136,75.1
10137,53.4
10138,83.7
10139,63.5
10140,61.3
10141,59.9
10142,82.6
10143,67.3
10144,49.9
10145,51.8
10146,62.7
10147,55.8
10148,56.2
10149,62.7
10150,87.3
10151,69.1
10152,84.4
